2025-07-03 02:30:49.800 | ERROR    | app.services.rate_limiter:initialize:55 - ❌ Failed to connect to Redis for rate limiting: Error Multiple exceptions: [Errno 61] Connect call failed ('::1', 6379, 0, 0), [Errno 61] Connect call failed ('127.0.0.1', 6379) connecting to localhost:6379.
2025-07-03 02:30:49.800 | INFO     | app.main:lifespan:43 - ✅ All services initialized successfully
2025-07-03 02:31:41.817 | INFO     | app.main:lifespan:53 - 🛑 Shutting down ZapAI application...
2025-07-03 02:31:41.818 | INFO     | app.services.mcp_manager:cleanup:32 - MCP Manager cleaned up
2025-07-03 02:31:41.818 | INFO     | app.main:lifespan:60 - ✅ Application shutdown complete
2025-07-03 02:31:42.477 | INFO     | app.main:lifespan:31 - 🚀 Starting ZapAI application...
2025-07-03 02:31:42.477 | INFO     | app.database:init_db:66 - Initializing database...
2025-07-03 02:31:42.477 | INFO     | app.database:init_db:68 - ✅ Database initialized (demo mode)
2025-07-03 02:31:42.477 | INFO     | app.main:lifespan:36 - ✅ Database initialized
2025-07-03 02:31:43.314 | INFO     | app.services.mcp_manager:_check_server:61 - ✅ brave_search MCP server is available
2025-07-03 02:31:43.921 | INFO     | app.services.mcp_manager:_check_server:61 - ✅ google_maps MCP server is available
